### two FPGAs connect to a same switch .

{1: {'MAC address': '0c:42:a1:d1:ee:8c', 'IP address': '192.168.0.1'}, 100: {'MAC address': '0c:42:a1:d1:ed:fc', 'IP address': '192.168.0.100'}, 101: {'MAC address': '0c:42:a1:d1:f2:3c', 'IP address': '192.168.0.101'}, 102: {'MAC address': '0c:42:a1:d1:ee:2c', 'IP address': '192.168.0.102'}, 103: {'MAC address': '0c:42:a1:d1:f1:ac', 'IP address': '192.168.0.103'}, 202: {'MAC address': '00:0a:35:02:9d:ca', 'IP address': '192.168.0.202'}}
Sent  1,000,000,000 size:  512-Byte done!	Got  1,000,000,000 took  46.2398 sec, thr: 88.582 Gbps, theoretical: 88.581 Gbps, difference: -0.0004 Gbps
Sent  1,000,000,000 size:  576-Byte done!	Got  1,000,000,000 took  51.3598 sec, thr: 89.720 Gbps, theoretical: 89.720 Gbps, difference: -0.0004 Gbps
Sent  1,000,000,000 size:  640-Byte done!	Got  1,000,000,000 took  56.4798 sec, thr: 90.652 Gbps, theoretical: 90.652 Gbps, difference: -0.0004 Gbps
Sent  1,000,000,000 size:  704-Byte done!	Got  1,000,000,000 took  61.5997 sec, thr: 91.429 Gbps, theoretical: 91.429 Gbps, difference: -0.0004 Gbps
Sent  1,000,000,000 size:  768-Byte done!	Got  1,000,000,000 took  66.7197 sec, thr: 92.087 Gbps, theoretical: 92.086 Gbps, difference: -0.0004 Gbps
Sent  1,000,000,000 size:  832-Byte done!	Got  1,000,000,000 took  71.8397 sec, thr: 92.651 Gbps, theoretical: 92.650 Gbps, difference: -0.0004 Gbps
Sent  1,000,000,000 size:  896-Byte done!	Got  1,000,000,000 took  76.9597 sec, thr: 93.140 Gbps, theoretical: 93.139 Gbps, difference: -0.0004 Gbps
Sent  1,000,000,000 size:  960-Byte done!	Got  1,000,000,000 took  82.0796 sec, thr: 93.568 Gbps, theoretical: 93.567 Gbps, difference: -0.0004 Gbps
Sent  1,000,000,000 size: 1024-Byte done!	Got  1,000,000,000 took  87.1996 sec, thr: 93.945 Gbps, theoretical: 93.945 Gbps, difference: -0.0004 Gbps
Sent  1,000,000,000 size: 1088-Byte done!	Got  1,000,000,000 took  92.3196 sec, thr: 94.281 Gbps, theoretical: 94.281 Gbps, difference: -0.0004 Gbps
Sent  1,000,000,000 size: 1152-Byte done!	Got  1,000,000,000 took  97.4396 sec, thr: 94.582 Gbps, theoretical: 94.581 Gbps, difference: -0.0004 Gbps
Sent  1,000,000,000 size: 1216-Byte done!	Got  1,000,000,000 took 102.5596 sec, thr: 94.852 Gbps, theoretical: 94.852 Gbps, difference: -0.0004 Gbps
Sent  1,000,000,000 size: 1280-Byte done!	Got  1,000,000,000 took 107.6795 sec, thr: 95.097 Gbps, theoretical: 95.097 Gbps, difference: -0.0004 Gbps
Sent  1,000,000,000 size: 1344-Byte done!	Got  1,000,000,000 took 112.7995 sec, thr: 95.320 Gbps, theoretical: 95.319 Gbps, difference: -0.0004 Gbps
Sent  1,000,000,000 size: 1408-Byte done!	Got  1,000,000,000 took 117.9195 sec, thr: 95.523 Gbps, theoretical: 95.522 Gbps, difference: -0.0004 Gbps
Sent  1,000,000,000 size: 1472-Byte done!	Got  1,000,000,000 took 123.0395 sec, thr: 95.709 Gbps, theoretical: 95.709 Gbps, difference: -0.0004 Gbps
